流水编号 | 图书编号 | 书籍名称 | 借书用户编号 | 借出时间 | 应还时间 | 实际归还时间 | 业务标记:0为未归还，1为正常归还，2为逾期归还
10001|10001|如何与一只猫谈判|10001|2026.1.8 22:51:25|2026.1.15 22:51:25|2026.1.8 22:51:40|1
10002|10002|马桶上的哲学沉思|10001|2026.1.8 22:51:31|2026.1.15 22:51:31|0|0
10003|10008|发呆艺术史|10005|2026.1.10 12:58:37|2026.1.17 12:58:37|0|2
10004|10025|小王子|10005|2026.1.10 12:58:47|2026.1.17 12:58:47|2026.1.10 13:38:18|2
10005|10010|塑料袋收藏入门|10005|2026.1.10 13:43:43|2026.1.17 13:43:43|2026.1.10 14:01:07|2
10006|10020|如何把天聊死进阶教程|10007|2026.1.11 22:17:45|2026.1.18 22:17:45|2026.1.11 22:25:12|2
10007|10021|红楼梦|10007|2026.1.11 22:17:52|2026.1.18 22:17:52|2026.1.11 22:38:22|2
10008|10005|如何假装会弹吉他|10009|2026.1.13 18:49:59|2026.1.20 18:49:59|2026.1.13 18:50:16|1
10009|10006|WiFi信号神秘学|10009|2026.1.13 18:50:06|2026.1.20 18:50:06|2026.1.13 18:50:26|1
10010|10005|如何假装会弹吉他|10007|2026.1.13 18:51:37|2026.1.13 18:51:37|2026.1.13 18:51:59|2
10011|10006|WiFi信号神秘学|10007|2026.1.13 18:51:48|2026.1.13 18:51:48|2026.1.13 18:56:35|2
10012|10006|WiFi信号神秘学|10007|2026.1.13 18:59:31|2026.1.13 18:59:31|2026.1.13 19:04:40|2
10013|10006|WiFi信号神秘学|10007|2026.1.13 19:05:14|2026.1.13 19:05:14|2026.1.13 19:11:33|2
10014|10001|如何与一只猫谈判|10007|2026.1.13 19:16:13|2026.1.13 19:16:13|2026.1.13 19:16:55|2
10015|10001|如何与一只猫谈判|10007|2026.1.14 9:20:08|2026.1.14 9:20:08|2026.1.14 9:20:28|2
10016|10003|拖延症晚期治疗指南|10007|2026.1.14 9:20:17|2026.1.14 9:20:17|2026.1.14 9:23:29|2
10017|10014|吵架时如何突然讲道理|10015|2026.1.27 18:11:10|2026.2.3 18:11:10|2026.1.27 18:11:20|1
10018|10015|失传的遥控器找法|10007|2026.1.27 18:12:04|2026.1.27 18:12:04|2026.1.27 18:12:20|2
10019|10016|午睡梦境解析|10007|2026.1.27 18:12:11|2026.1.27 18:12:11|0|0
